"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","B","Correct","1.0","1.0"
"q2","","D","Unmarked","0.0","1.0"
"q3","","C","Unmarked","0.0","1.0"
"q4","B","B","Correct","1.0","2.0"
"q5","BD","D","Incorrect","0.25","2.25"
"q6","","C","Unmarked","0.0","2.25"
"q7","BD","A","Incorrect","0.25","2.5"
"q8","BD","C","Incorrect","0.25","2.75"
"q9","","A","Unmarked","0.0","2.75"
"q10","BD","D","Incorrect","0.25","3.0"
"q11","CD","C","Incorrect","0.25","3.25"
"q12","CD","B","Incorrect","0.25","3.5"
"q13","","A","Unmarked","0.0","3.5"
"q14","","D","Unmarked","0.0","3.5"
"q15","","B","Unmarked","0.0","3.5"
"q16","","C","Unmarked","0.0","3.5"
"q17","","D","Unmarked","0.0","3.5"
"q18","","A","Unmarked","0.0","3.5"
"q19","","B","Unmarked","0.0","3.5"
"q20","D","C","Incorrect","0.25","3.75"
"q21","","A","Unmarked","0.0","3.75"
"q22","A","D","Incorrect","0.25","4.0"
"q23","","B","Unmarked","0.0","4.0"
"q24","A","C","Incorrect","0.25","4.25"
"q25","","A","Unmarked","0.0","4.25"
"q26","","B","Unmarked","0.0","4.25"
"q27","","D","Unmarked","0.0","4.25"
"q28","","C","Unmarked","0.0","4.25"
"q29","BC","A","Incorrect","0.25","4.5"
"q30","","B","Unmarked","0.0","4.5"
"q31","AC","C","Incorrect","0.25","4.75"
"q32","AC","D","Incorrect","0.25","5.0"
"q33","AC","B","Incorrect","0.25","5.25"
"q34","AC","C","Incorrect","0.25","5.5"
"q35","","A","Unmarked","0.0","5.5"
"q36","","D","Unmarked","0.0","5.5"
"q37","","B","Unmarked","0.0","5.5"
"q38","","C","Unmarked","0.0","5.5"
"q39","","A","Unmarked","0.0","5.5"
"q40","D","D","Correct","1.0","6.5"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","B","Correct","1.0","1.0"
"q2","","D","Unmarked","0.0","1.0"
"q3","","C","Unmarked","0.0","1.0"
"q4","B","B","Correct","1.0","2.0"
"q5","BD","D","Incorrect","0.25","2.25"
"q6","","C","Unmarked","0.0","2.25"
"q7","BD","A","Incorrect","0.25","2.5"
"q8","BD","C","Incorrect","0.25","2.75"
"q9","","A","Unmarked","0.0","2.75"
"q10","BD","D","Incorrect","0.25","3.0"
"q11","CD","C","Incorrect","0.25","3.25"
"q12","CD","B","Incorrect","0.25","3.5"
"q13","","A","Unmarked","0.0","3.5"
"q14","","D","Unmarked","0.0","3.5"
"q15","","B","Unmarked","0.0","3.5"
"q16","","C","Unmarked","0.0","3.5"
"q17","","D","Unmarked","0.0","3.5"
"q18","","A","Unmarked","0.0","3.5"
"q19","","B","Unmarked","0.0","3.5"
"q20","D","C","Incorrect","0.25","3.75"
"q21","","A","Unmarked","0.0","3.75"
"q22","A","D","Incorrect","0.25","4.0"
"q23","","B","Unmarked","0.0","4.0"
"q24","A","C","Incorrect","0.25","4.25"
"q25","","A","Unmarked","0.0","4.25"
"q26","","B","Unmarked","0.0","4.25"
"q27","","D","Unmarked","0.0","4.25"
"q28","","C","Unmarked","0.0","4.25"
"q29","BC","A","Incorrect","0.25","4.5"
"q30","","B","Unmarked","0.0","4.5"
"q31","AC","C","Incorrect","0.25","4.75"
"q32","AC","D","Incorrect","0.25","5.0"
"q33","AC","B","Incorrect","0.25","5.25"
"q34","AC","C","Incorrect","0.25","5.5"
"q35","","A","Unmarked","0.0","5.5"
"q36","","D","Unmarked","0.0","5.5"
"q37","","B","Unmarked","0.0","5.5"
"q38","","C","Unmarked","0.0","5.5"
"q39","","A","Unmarked","0.0","5.5"
"q40","D","D","Correct","1.0","6.5"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","B","Correct","1.0","1.0"
"q2","","D","Unmarked","0.0","1.0"
"q3","","C","Unmarked","0.0","1.0"
"q4","B","B","Correct","1.0","2.0"
"q5","BD","D","Incorrect","0.25","2.25"
"q6","","C","Unmarked","0.0","2.25"
"q7","BD","A","Incorrect","0.25","2.5"
"q8","BD","C","Incorrect","0.25","2.75"
"q9","","A","Unmarked","0.0","2.75"
"q10","BD","D","Incorrect","0.25","3.0"
"q11","CD","C","Incorrect","0.25","3.25"
"q12","CD","B","Incorrect","0.25","3.5"
"q13","","A","Unmarked","0.0","3.5"
"q14","","D","Unmarked","0.0","3.5"
"q15","","B","Unmarked","0.0","3.5"
"q16","","C","Unmarked","0.0","3.5"
"q17","","D","Unmarked","0.0","3.5"
"q18","","A","Unmarked","0.0","3.5"
"q19","","B","Unmarked","0.0","3.5"
"q20","D","C","Incorrect","0.25","3.75"
"q21","","A","Unmarked","0.0","3.75"
"q22","A","D","Incorrect","0.25","4.0"
"q23","","B","Unmarked","0.0","4.0"
"q24","A","C","Incorrect","0.25","4.25"
"q25","","A","Unmarked","0.0","4.25"
"q26","","B","Unmarked","0.0","4.25"
"q27","","D","Unmarked","0.0","4.25"
"q28","","C","Unmarked","0.0","4.25"
"q29","BC","A","Incorrect","0.25","4.5"
"q30","","B","Unmarked","0.0","4.5"
"q31","AC","C","Incorrect","0.25","4.75"
"q32","AC","D","Incorrect","0.25","5.0"
"q33","AC","B","Incorrect","0.25","5.25"
"q34","AC","C","Incorrect","0.25","5.5"
"q35","","A","Unmarked","0.0","5.5"
"q36","","D","Unmarked","0.0","5.5"
"q37","","B","Unmarked","0.0","5.5"
"q38","","C","Unmarked","0.0","5.5"
"q39","","A","Unmarked","0.0","5.5"
"q40","D","D","Correct","1.0","6.5"
