question,correct_answer,marked_answer,is_correct
q1,D,A,false
q2,A,C,false
q3,C,B,false
q4,B,A,false
q5,C,A,false
q6,D,B,false
q7,B,C,false
q8,A,B,false
q9,C,C,true
q10,A,A,true
q11,D,C,false
q12,B,C,false
q13,A,C,false
q14,C,D,false
q15,B,B,true
q16,D,B,false
q17,C,C,true
q18,B,B,true
q19,A,B,false
q20,D,A,false
q21,B,C,false
q22,C,B,false
q23,D,B,false
q24,A,A,true
q25,C,D,false
q26,B,D,false
q27,D,A,false
q28,C,A,false
q29,A,D,false
q30,B,D,false
q31,C,B,false
q32,A,B,false
q33,B,A,false
q34,D,B,false
q35,A,B,false
q36,C,B,false
q37,D,B,false
q38,B,C,false
q39,A,B,false
q40,C,B,false
q1,D,A,false
q2,A,C,false
q3,C,B,false
q4,B,A,false
q5,C,A,false
q6,D,B,false
q7,B,C,false
q8,A,B,false
q9,C,C,true
q10,A,A,true
q11,D,C,false
q12,B,C,false
q13,A,C,false
q14,C,D,false
q15,B,B,true
q16,D,B,false
q17,C,C,true
q18,B,B,true
q19,A,B,false
q20,D,A,false
q21,B,C,false
q22,C,B,false
q23,D,B,false
q24,A,A,true
q25,C,D,false
q26,B,D,false
q27,D,A,false
q28,C,A,false
q29,A,D,false
q30,B,D,false
q31,C,B,false
q32,A,B,false
q33,B,A,false
q34,D,B,false
q35,A,B,false
q36,C,B,false
q37,D,B,false
q38,B,C,false
q39,A,B,false
q40,C,B,false
