question,total_attempts,correct_attempts,attempt_rate,difficulty,answer_distribution
Q1,6,6,100.0%,0.00,{'A': 6}
Q2,6,6,100.0%,0.00,{'C': 6}
Q3,6,6,100.0%,0.00,{'B': 6}
Q4,6,6,100.0%,0.00,{'A': 6}
Q5,6,6,100.0%,0.00,{'A': 6}
Q6,6,6,100.0%,0.00,{'B': 6}
Q7,6,6,100.0%,0.00,{'C': 6}
Q8,6,6,100.0%,0.00,{'B': 6}
Q9,6,6,100.0%,0.00,{'C': 6}
Q10,6,6,100.0%,0.00,{'A': 6}
Q11,6,6,100.0%,0.00,{'C': 6}
Q12,6,6,100.0%,0.00,{'C': 6}
Q13,6,6,100.0%,0.00,{'C': 6}
Q14,6,6,100.0%,0.00,{'D': 6}
Q15,6,6,100.0%,0.00,{'B': 6}
Q16,6,6,100.0%,0.00,{'B': 6}
Q17,6,6,100.0%,0.00,{'C': 6}
Q18,6,6,100.0%,0.00,{'B': 6}
Q19,6,6,100.0%,0.00,{'B': 6}
Q20,6,6,100.0%,0.00,{'A': 6}
Q21,6,6,100.0%,0.00,{'C': 6}
Q22,6,6,100.0%,0.00,{'B': 6}
Q23,6,6,100.0%,0.00,{'B': 6}
Q24,6,6,100.0%,0.00,{'A': 6}
Q25,6,6,100.0%,0.00,{'D': 6}
Q26,6,6,100.0%,0.00,{'D': 6}
Q27,6,6,100.0%,0.00,{'A': 6}
Q28,6,6,100.0%,0.00,{'A': 6}
Q29,6,6,100.0%,0.00,{'D': 6}
Q30,6,6,100.0%,0.00,{'D': 6}
Q31,6,6,100.0%,0.00,{'B': 6}
Q32,6,6,100.0%,0.00,{'B': 6}
Q33,6,6,100.0%,0.00,{'A': 6}
Q34,6,6,100.0%,0.00,{'B': 6}
Q35,6,6,100.0%,0.00,{'B': 6}
Q36,6,6,100.0%,0.00,{'B': 6}
Q37,6,6,100.0%,0.00,{'B': 6}
Q38,6,6,100.0%,0.00,{'C': 6}
Q39,6,6,100.0%,0.00,{'B': 6}
Q40,6,6,100.0%,0.00,{'B': 6}
