"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","B","Unmarked","0.0","0.0"
"q2","","D","Unmarked","0.0","0.0"
"q3","","C","Unmarked","0.0","0.0"
"q4","D","B","Incorrect","0.25","0.25"
"q5","C","D","Incorrect","0.25","0.5"
"q6","D","C","Incorrect","0.25","0.75"
"q7","","A","Unmarked","0.0","0.75"
"q8","","C","Unmarked","0.0","0.75"
"q9","","A","Unmarked","0.0","0.75"
"q10","","D","Unmarked","0.0","0.75"
"q11","","C","Unmarked","0.0","0.75"
"q12","","B","Unmarked","0.0","0.75"
"q13","","A","Unmarked","0.0","0.75"
"q14","","D","Unmarked","0.0","0.75"
"q15","","B","Unmarked","0.0","0.75"
"q16","","C","Unmarked","0.0","0.75"
"q17","","D","Unmarked","0.0","0.75"
"q18","","A","Unmarked","0.0","0.75"
"q19","","B","Unmarked","0.0","0.75"
"q20","","C","Unmarked","0.0","0.75"
"q21","","A","Unmarked","0.0","0.75"
"q22","","D","Unmarked","0.0","0.75"
"q23","","B","Unmarked","0.0","0.75"
"q24","C","C","Correct","1.0","1.75"
"q25","","A","Unmarked","0.0","1.75"
"q26","D","B","Incorrect","0.25","2.0"
"q27","","D","Unmarked","0.0","2.0"
"q28","","C","Unmarked","0.0","2.0"
"q29","","A","Unmarked","0.0","2.0"
"q30","","B","Unmarked","0.0","2.0"
"q31","","C","Unmarked","0.0","2.0"
"q32","","D","Unmarked","0.0","2.0"
"q33","","B","Unmarked","0.0","2.0"
"q34","","C","Unmarked","0.0","2.0"
"q35","","A","Unmarked","0.0","2.0"
"q36","","D","Unmarked","0.0","2.0"
"q37","","B","Unmarked","0.0","2.0"
"q38","","C","Unmarked","0.0","2.0"
"q39","","A","Unmarked","0.0","2.0"
"q40","","D","Unmarked","0.0","2.0"
